1;P00352;
2;P35544;
3;P05091;
4;A8K828;P30838;Q6PKA6;
5;P30837;
6;Q9BWD1;
7;P02708;Q53SH4;
8;Q04844;
9;P07510;
10;P22303;
11;P50553;
12;Q99798;
13;P21399;
14;P26436;
15;B3KPP5;P68032;
17;P63261;
16;P63267;
19;P35609;
18;Q14315;Q59H94;
21;Q04771;
20;B3V8S3;P12814;Q1HE25;
23;P29590;Q59FP9;Q9BZX7;
22;P35249;
25;P27037;
24;P35251;
27;P28039;
26;P40763;
29;P07741;
28;P14621;
31;D2JYH4;P62736;
30;P68133;
34;P13798;
35;B2RPL9;Q13477;Q5UGI7;
32;P60709;Q1KLZ0;
33;P35610;
38;P00813;
39;P55263;Q5JQ10;
36;A2A3N8;P35611;
37;P35612;Q05DK5;Q96HD4;
42;P30542;
43;B3KVQ4;P29274;
40;P23109;
41;A0AUX0;B7Z763;Q01432;
46;P00568;Q6FGX9;
47;P54819;
44;P06576;
45;P41586;
51;P40145;Q4F7X0;
50;P30520;
49;P30566;
48;P27144;
55;A4D0Z3;P84085;
54;P84077;
53;Q08828;Q59FG4;Q8NFM5;
52;Q08462;Q71UM8;
59;P10109;
58;P12235;
57;Q6FHZ7;Q99541;
56;P61204;
63;P07327;
62;P02768;
61;P35318;
60;P22570;Q6GSK2;
68;P08319;
69;P14550;
70;P04075;
71;P15121;
64;P11766;Q6IRT1;
65;P00325;
66;P00326;
67;P28332;Q8IUN7;
76;P17050;
77;Q8TET4;
78;P08913;
79;B0ZBE0;P25100;
72;P01023;
73;P43652;
74;P02771;
75;Q15911;Q8N2Y6;
85;P18825;Q4W594;
84;Q11206;Q6IBE6;
87;P49768;
86;A2RUS0;P18089;
81;B0ZBD3;P35348;
80;P35368;
83;P22083;
82;P30533;
93;P15514;Q5U026;
92;Q03154;
95;P19961;
94;P04746;
89;A6NCD2;P40227;
88;P19801;
91;P30825;
90;Q07837;
102;P51693;
103;B4E3I5;Q06481;
100;B4DGD0;P05067;
